Accession,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Genotype,Geo_Location,USA,Host,Isolation_Source,Collection_Date
OP693754,2022-10-21,BE.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-QDX42187102,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2022-10-03
ON105065,2022-03-30,BA.1.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,,CO-CDPHE-2103013500,Severe acute respiratory syndrome-related coronavirus,29752,complete,,USA,,Homo sapiens,,2022-03-02
ON940836,2022-07-07,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-LC0735699,Severe acute respiratory syndrome-related coronavirus,29705,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-06-21
OM010005,2021-12-24,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,,CO-CDPHE-2102267474,Severe acute respiratory syndrome-related coronavirus,29764,complete,,USA,,Homo sapiens,,2021-11-16
OM506253,2022-02-03,AY.39,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-2000056643,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA,,Homo sapiens,,2021-12-06
MZ397915,2021-06-16,B.1.526,4.3.1/1.23.1/v0.1.12/0.3.19,,SC-COVID21-1876,Severe acute respiratory syndrome-related coronavirus,29786,complete,,"USA: SC, BARNWELL",SC,Homo sapiens,oronasopharynx,2021-05-14
OP039813,2022-07-22,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDPHE-2103376954,Severe acute respiratory syndrome-related coronavirus,29723,complete,,USA,,Homo sapiens,,2022-06-15
OL996626,2021-12-23,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-ASC210608352,Severe acute respiratory syndrome-related coronavirus,29816,complete,,USA: Illinois,IL,Homo sapiens,,2021-12-08
OM779194,2022-02-22,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,,V01660,Severe acute respiratory syndrome-related coronavirus,29886,complete,,USA: AR,AR,Homo sapiens,oronasopharynx,2021-08-29
ON549635,2022-05-19,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-QDX36604924,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2022-05-03
ON056308,2022-03-24,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-DFNKGH3RR,Severe acute respiratory syndrome-related coronavirus,29873,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-03-08
ON853258,2022-06-27,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-SM4AV8379,Severe acute respiratory syndrome-related coronavirus,29850,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-06-13
OM469433,2022-02-01,BA.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,MD-CDC-QDX32791487,Severe acute respiratory syndrome-related coronavirus,29752,complete,,USA: Maryland,MD,Homo sapiens,oronasopharynx,2022-01-07
ON592691,2022-05-24,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,SC-CDC-LC0629530,Severe acute respiratory syndrome-related coronavirus,29721,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2022-05-11
OM330181,2022-01-21,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-FG-237451,Severe acute respiratory syndrome-related coronavirus,29786,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-01-03
OL838168,2021-12-14,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,CT-CDC-LC0402581,Severe acute respiratory syndrome-related coronavirus,29767,complete,,USA: Connecticut,CT,Homo sapiens,oronasopharynx,2021-11-28
OL944124,2021-12-22,AY.122,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB11729505,Severe acute respiratory syndrome-related coronavirus,29787,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2021-11-18
MZ331131,2021-06-02,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,NH-CDC-2-4394994,Severe acute respiratory syndrome-related coronavirus,29848,complete,,USA: NH,NH,Homo sapiens,oronasopharynx,2021-05-10
MZ321778,2021-06-01,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB08597068,Severe acute respiratory syndrome-related coronavirus,29781,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2021-05-02
OP116674,2022-08-01,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-QDX38874819,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2022-07-10
ON695064,2022-06-07,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-TUJZPZRSJ,Severe acute respiratory syndrome-related coronavirus,29848,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-05-25
OP606333,2022-10-11,BA.5.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDCBI-CRSP_XBPQWYIX4NCDUPB6,Severe acute respiratory syndrome-related coronavirus,29792,complete,,USA: Massachusetts,MA,Homo sapiens,,2022-09-27
OP203064,2022-08-11,BF.11,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-STM-UCE4Y52NQ,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-07-30
OM410723,2022-01-27,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-LC0476539,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2022-01-11
MZ217838,2021-05-17,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,RI-CDCBI-RIDOH_02182,Severe acute respiratory syndrome-related coronavirus,29763,complete,,USA: Rhode Island,RI,Homo sapiens,,2021-04-26
OP944210,2022-12-05,BQ.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-QDX43725332,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2022-11-14
OL723682,2021-12-06,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,,CO-CDPHE-2102229703,Severe acute respiratory syndrome-related coronavirus,29808,complete,,USA,,Homo sapiens,,2021-11-07
OP521429,2022-09-24,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,,WI-UW-9842,Severe acute respiratory syndrome-related coronavirus,29684,complete,,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2022-03-01
ON175680,2022-04-07,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-STM-B92A2K8VM,Severe acute respiratory syndrome-related coronavirus,29848,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2022-03-27
MZ163555,2021-05-11,B.1.526,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-STM-000060820,Severe acute respiratory syndrome-related coronavirus,29821,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-04-22
OL996140,2021-12-23,AY.122,4.3.1/1.23.1/v0.1.12/0.3.19,true,RI-CDC-ASC210530578,Severe acute respiratory syndrome-related coronavirus,29810,complete,,USA: Rhode Island,RI,Homo sapiens,oronasopharynx,2021-12-08
OL918613,2021-12-20,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,KY-CDC-LC0412036,Severe acute respiratory syndrome-related coronavirus,29795,complete,,USA: Kentucky,KY,Homo sapiens,oronasopharynx,2021-12-01
OM398651,2022-01-26,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,,21080562,Severe acute respiratory syndrome-related coronavirus,29786,complete,,USA: Connecticut,CT,Homo sapiens,oronasopharynx,2021-12-23
OP944162,2022-12-05,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-QDX43725377,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2022-11-14
OM865490,2022-03-01,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-2-5571048,Severe acute respiratory syndrome-related coronavirus,29834,complete,,USA: CA,CA,Homo sapiens,,2022-01-16
ON143913,2022-04-04,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-ASC210846881,Severe acute respiratory syndrome-related coronavirus,29790,complete,,USA: Florida,FL,Homo sapiens,,2022-03-20
OP795216,2022-11-08,AY.25.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-BPHL-20810,Severe acute respiratory syndrome-related coronavirus,29701,complete,,USA: FL,FL,Homo sapiens,,2021-09-09
MZ622251,2021-07-26,B.1,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-CHLA-PLM18573714,Severe acute respiratory syndrome-related coronavirus,29903,complete,,"USA: California,Los Angeles County",CA,Homo sapiens,oronasopharynx,2020-10-16
OM841143,2022-02-27,B.1.240,4.3.1/1.23.1/v0.1.12/0.3.19,,CO-CDPHE-2011074210,Severe acute respiratory syndrome-related coronavirus,29777,complete,,USA,,Homo sapiens,,2020-11-03
ON941160,2022-07-07,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-LC0736332,Severe acute respiratory syndrome-related coronavirus,29624,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-06-22
MZ022804,2021-04-25,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-ASC210022539,Severe acute respiratory syndrome-related coronavirus,29882,complete,,USA: New York,NY,Homo sapiens,,2021-03-26
ON095309,2022-03-29,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,VT-Broad-CRSP_TYSUG32RBJUZY3II,Severe acute respiratory syndrome-related coronavirus,29827,complete,,USA: Vermont,VT,Homo sapiens,,2022-03-18
ON296098,2022-04-20,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-LC0573792,Severe acute respiratory syndrome-related coronavirus,29726,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-04-07
OP582500,2022-10-04,BE.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-LC0893051,Severe acute respiratory syndrome-related coronavirus,29657,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2022-09-17
OP225261,2022-08-16,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,DE-CDC-LC0814666,Severe acute respiratory syndrome-related coronavirus,29655,complete,,USA: Delaware,DE,Homo sapiens,oronasopharynx,2022-08-02
OP156434,2022-08-04,BA.5.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-QDX39214947,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-07-19
OQ314854,2023-01-24,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,,MT-UMGC-03468,Severe acute respiratory syndrome-related coronavirus,29796,complete,,USA: Montana,MT,Homo sapiens,,2021-09-09
MZ500379,2021-07-06,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,,WV119091,Severe acute respiratory syndrome-related coronavirus,29833,complete,,USA: West Virginia,WV,Homo sapiens,,2021-04-17
OM962407,2022-03-10,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX34247101,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-02-23
OQ085721,2022-12-20,BQ.1.1.4,4.3.1/1.23.1/v0.1.12/0.3.19,true,GA-CDC-QDX44242575,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Georgia,GA,Homo sapiens,oronasopharynx,2022-11-30
OP128562,2022-08-02,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-UPHL-220725543824,Severe acute respiratory syndrome-related coronavirus,29746,complete,,USA,,Homo sapiens,,2022-06-18
OM020723,2021-12-27,AY.20,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-202075,Severe acute respiratory syndrome-related coronavirus,29812,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-12-18
OP109822,2022-08-01,BF.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-LC0787396,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2022-07-15
OP065698,2022-07-26,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-LC0775448,Severe acute respiratory syndrome-related coronavirus,29721,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-07-14
OP943374,2022-12-05,BQ.1.11,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-STM-NT84SS454,Severe acute respiratory syndrome-related coronavirus,29841,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2022-11-21
ON701234,2022-06-07,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0651197,Severe acute respiratory syndrome-related coronavirus,29622,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2022-05-21
OP736201,2022-10-28,BF.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-QDX42513293,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-10-14
ON657451,2022-06-02,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-LC0655275,Severe acute respiratory syndrome-related coronavirus,29755,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-05-18
OM520085,2022-02-04,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-LC0502939,Severe acute respiratory syndrome-related coronavirus,29653,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2022-01-18
OP260157,2022-08-19,BA.5.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-9JB95666W,Severe acute respiratory syndrome-related coronavirus,29842,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-08-02
OP063404,2022-07-26,BF.10,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-LC0776011,Severe acute respiratory syndrome-related coronavirus,29657,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-07-08
MW904312,2021-04-12,B.1.526,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-STM-000038828,Severe acute respiratory syndrome-related coronavirus,29798,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-03-17
OP176612,2022-08-09,BA.4.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,OR-CDC-LC0806748,Severe acute respiratory syndrome-related coronavirus,29646,complete,,USA: Oregon,OR,Homo sapiens,oronasopharynx,2022-07-25
MT750436,2020-07-13,B.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-CZB-1993,Severe acute respiratory syndrome-related coronavirus,29901,complete,,USA: CA,CA,Homo sapiens,,2020-04-30
OM957319,2022-03-10,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB14333541,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2022-02-12
OM448589,2022-01-31,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-ASC210576749,Severe acute respiratory syndrome-related coronavirus,29781,complete,,USA: Texas,TX,Homo sapiens,,2022-01-02
MW638676,2021-02-19,B.1.595,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-CDC-LC0004578,Severe acute respiratory syndrome-related coronavirus,29714,complete,,USA: Utah,UT,Homo sapiens,oronasopharynx,2021-01-04
ON570042,2022-05-23,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-QDX36714999,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-05-05
OP917239,2022-11-29,BQ.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX43632224,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-11-12
ON731747,2022-06-10,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX37299234,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-05-23
ON766427,2022-06-15,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-QDX37501941,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-05-27
MW869217,2021-04-06,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-000031212,Severe acute respiratory syndrome-related coronavirus,29884,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-03-05
MZ785777,2021-08-13,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,AR-CDC-LC0109789,Severe acute respiratory syndrome-related coronavirus,29694,complete,,USA: Arkansas,AR,Homo sapiens,oronasopharynx,2021-07-08
OP041067,2022-07-22,BA.4.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-QDX38635115,Severe acute respiratory syndrome-related coronavirus,29709,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-07-01
OP545611,2022-09-28,BA.5.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-LC0887656,Severe acute respiratory syndrome-related coronavirus,29655,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-09-17
OP472389,2022-09-19,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,,VA-CAV_VAS3N_00014384_01,Severe acute respiratory syndrome-related coronavirus,29827,complete,,USA: Virgina,VA,Homo sapiens,oronasopharynx,2022-08-16
OP609008,2022-10-11,BA.5.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-QDX41753598,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-09-22
OM096176,2022-01-03,BA.1.20,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-ASC210634517,Severe acute respiratory syndrome-related coronavirus,29793,complete,,USA: Michigan,MI,Homo sapiens,,2021-12-17
OL821545,2021-12-11,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-184049,Severe acute respiratory syndrome-related coronavirus,29800,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-12-04
OM842667,2022-02-27,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB14305662,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2022-02-10
OQ298689,2023-01-20,BQ.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-QDX45209587,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2023-01-03
OM299881,2022-01-18,BA.1.20,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-231074,Severe acute respiratory syndrome-related coronavirus,29786,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-01-02
MW523869,2021-01-26,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-STM-A100281,Severe acute respiratory syndrome-related coronavirus,29856,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-01-05
OP260086,2022-08-19,BA.5.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TN-CDC-STM-MA4FAVBFJ,Severe acute respiratory syndrome-related coronavirus,29835,complete,,USA: Tennessee,TN,Homo sapiens,oronasopharynx,2022-08-02
OM336612,2022-01-21,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MD-CDC-QDX32594838,Severe acute respiratory syndrome-related coronavirus,29752,complete,,USA: Maryland,MD,Homo sapiens,oronasopharynx,2022-01-03
OP703141,2022-10-21,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,0-54054-3,Severe acute respiratory syndrome-related coronavirus,29821,complete,,"USA: Tennessee, Shelby County",TN,Homo sapiens,oronasopharynx,2020-12-17
MZ703744,2021-08-04,B.1.617.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-ASC210113465,Severe acute respiratory syndrome-related coronavirus,29829,complete,,USA: Florida,FL,Homo sapiens,,2021-07-11
OM042482,2021-12-28,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MD-CDC-LC0429422,Severe acute respiratory syndrome-related coronavirus,29678,complete,,USA: Maryland,MD,Homo sapiens,oronasopharynx,2021-12-14
